YEAR,DEPT,VALID,BLANK,VOID,REJECT,BALLOTS,PFA,PDC,PN,PC,PI,PINT,PLib,PLab2,PLab1,PT,PNE,PUC,PUCU,PVEE,PDS,PA,PSS,PAO,PMJ,PDL,PR,PMP,PGP,PMJ,PCONV,PUP,PURC,PJP,PJDO,PAT,PF,PFIL,PS,PMCC,PMRO,POR,PCOM,UDR,MRENOV,PCPYSS,POSIN,PNI,PFCAP,PO,PAP
2009,MONTEVIDEO ,904327,7335,10209,,929324,522205,,202210,138987,31238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9687
2009,CANELONES ,314439,3954,5142,,325570,166185,,91412,46580,7888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2374
2009,MALDONADO ,105683,1184,1619,,109036,44580,,34409,23231,3145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,318
2009,ROCHA ,51655,771,726,,53474,22123,,18067,10305,879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,281
2009,TREINTA Y TRES ,36054,379,433,,36992,14111,,16009,5353,469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112
2009,CERRO LARGO ,60736,686,532,,62226,24968,,26508,8489,609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162
2009,RIVERA ,71820,886,603,,73693,24974,,25976,20002,724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144
2009,ARTIGAS ,51162,508,546,,52428,19362,,21464,9801,422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113
2009,SALTO ,84230,1007,811,,86432,39982,,23344,19445,1243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,216
2009,PAYSANDÚ ,78926,924,904,,81225,37056,,28451,11677,1456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,286
2009,RÍO NEGRO ,37239,345,426,,38181,15480,,11604,9447,612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96
2009,SORIANO  ,61376,672,736,,63117,27595,,19098,13530,893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260
2009,COLONIA ,89660,823,1129,,92078,35369,,32720,19221,2134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,216
2009,SAN JOSÉ ,69765,806,993,,71954,30783,,25305,11860,1378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,439
2009,FLORES ,19439,202,152,,19878,6146,,8815,4162,243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73
2009,FLORIDA ,50187,509,450,,51412,19750,,18604,10459,1147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,227
